expression,reading,meaning,tags
弱点,じゃくてん,"weak point, weakness",n2
車庫,しゃこ,"garage, car shed",n2
車掌,しゃしょう,train conductor,n2
写生,しゃせい,"sketching, drawing from nature",n2
社説,しゃせつ,editorial,n2
車輪,しゃりん,car wheel,n2
洒落,しゃれ,"joke, pun, witticism",n2
重～,じゅう,heavy ,n2
集会,しゅうかい,"meeting, assembly",n2
住居,じゅうきょ,"dwelling, house, residence, address",n2
集金,しゅうきん,money collection,n2
集合,しゅうごう,"gathering, assembly",n2
習字,しゅうじ,penmanship,n2
修繕,しゅうぜん,"repair, mending",n2
重体,じゅうたい,"serious condition, critical condition",n2
終点,しゅうてん,"terminus, last stop  train",n2
重点,じゅうてん,"important point, lay stress on, emphasis",n2
就任,しゅうにん,"inauguration, assumption of office",n2
周辺,しゅうへん,"circumference, peripheral",n2
重役,じゅうやく,"director, high executive",n2
終了,しゅうりょう,"end, close, termination",n2
重量,じゅうりょう,heavyweight,n2
重力,じゅうりょく,gravity,n2
熟語,じゅくご,"idiom, kanji compound",n2
祝日,しゅくじつ,national holiday,n2
縮小,しゅくしょう,"reduction, curtailment",n2
受験,じゅけん,taking an examination,n2
主語,しゅご,gram subject,n2
主人,しゅじん,one's own husband,n2
出勤,しゅっきん,"going  work, at work",n2
述語,じゅつご,predicate,n2
出張,しゅっちょう,"official tour, business trip",n2
寿命,じゅみょう,life span,n2
主役,しゅやく,leading part,n2
受話器,じゅわき,telephone receiver,n2
循環,じゅんかん,"circulation, rotation, cycle",n2
巡査,じゅんさ,policeman,n2
順々,じゅんじゅん,"in order, in turn",n2
順序,じゅんじょ,"order, sequence, procedure",n2
純情,じゅんじょう,pure heart,n2
純粋,じゅんすい,"pure, genuine, unmixed",n2
初～,しょ,first ,n2
諸～,しょ,various ,n2
女～,じょ,things done by women,n2
省～,しょう,economizing ,n2
消化,しょうか,digestion,n2
小学生,しょうがくせい,elementary school pupil,n2
将棋,しょうぎ,japanese chess,n2
蒸気,じょうき,"steam, vapor",n2
定規,じょうぎ,measuring ruler,n2
上級,じょうきゅう,"advanced level, high grade, senior",n2
商業,しょうぎょう,"commerce, trade, business",n2
消極的,しょうきょくてき,passive,n2
賞金,しょうきん,"prize, monetary award",n2
上下,じょうげ,"high and low, up and down",n2
障子,しょうじ,paper sliding door,n2
商社,しょうしゃ,trading company,n2
乗車,じょうしゃ,"taking a train, entraining",n2
上旬,じょうじゅん,first 10 days of month,n2
小数,しょうすう,"fraction part of, decimal",n2
生ずる,しょうずる," cause,  arise,  be generated",n2
商店,しょうてん,"shop, business firm",n2
焦点,しょうてん,"focus, point",n2
消毒,しょうどく,disinfection,n2
勝敗,しょうはい,"victory or defeat, issue of battle",n2
蒸発,じょうはつ,evaporation unexplained disappearance,n2
賞品,しょうひん,"prize, trophy",n2
上品,じょうひん,"refined, elegant, wellmannered",n2
勝負,しょうぶ,"victory or defeat, game",n2
小便,しょうべん,"col urine, piss",n2
消防署,しょうぼうしょ,fire station,n2
正味,しょうみ,net weight,n2
正面,しょうめん,front,n2
消耗,しょうもう,"exhaustion, consumption",n2
省略,しょうりゃく,"omission, abbreviation, abridgment",n2
初級,しょきゅう,elementary level,n2
助教授,じょきょうじゅ,assistant professor,n2
食塩,しょくえん,table salt,n2
職人,しょくにん,"artisan, craftsman",n2
職場,しょくば,workplace,n2
初旬,しょじゅん,first 10 days of the month,n2
書籍,しょせき,"book, publication",n2
食器,しょっき,tableware,n2
書店,しょてん,bookshop,n2
書道,しょどう,calligraphy,n2
初歩,しょほ,"elements, rudiments",n2
白髪,しらが,"white or grey hair, trendy hair bleaching",n2
知り合い,しりあい,acquaintance,n2
私立,しりつ,private establishment,n2
資料,しりょう,"materials, data",n2
汁,しる,"juice, soup",n2
素人,しろうと,"layman, amateur, novice",n2
芯,しん,"core, heart, wick",n2
新幹線,しんかんせん,"shinkansen, ""bullet train""",n2
真空,しんくう,vacuum,n2
人事,じんじ,"human resources, personnel management",n2
心身,しんしん,mind and body,n2
信ずる,しんずる, believe,n2
申請,しんせい,"application, request, petition",n2
人造,じんぞう,"manmade, synthetic, artificial",n2
寝台,しんだい,bed,n2
診断,しんだん,diagnosis,n2
侵入,しんにゅう,"invasion, raid, trespass",n2
人文科学,じんぶんかがく,"social sciences, humanities",n2
人命,じんめい,human life,n2
深夜,しんや,late at night,n2
森林,しんりん,"forest, woods",n2
親類,しんるい,relatives same as  ,n2
針路,しんろ,"course, direction",n2
神話,しんわ,"myth, legend",n2
酢,す,vinegar,n2
水産,すいさん,"marine products, fisheries",n2
炊事,すいじ,cooking,n2
水蒸気,すいじょうき,"water vapor, steam",n2
水素,すいそ,hydrogen,n2
垂直,すいちょく,"vertical, perpendicular",n2
推定,すいてい,"presumption, assumption, estimation",n2
水滴,すいてき,drop of water,n2
水筒,すいとう,"canteen, flask, water bottle",n2
随筆,ずいひつ,"essays, miscellaneous writings",n2
水分,すいぶん,moisture,n2
水平,すいへい,"level, horizontal",n2
水平線,すいへいせん,horizon,n2
水面,すいめん,water's surface,n2
水曜,すいよう,wednesday,n2
図々しい,ずうずうしい,"impudent, shameless",n2
末っ子,すえっこ,youngest child,n2
図鑑,ずかん,picture book,n2
隙,すき,"unguarded moment, chance",n2
杉,すぎ,japanese cedar,n2
好き嫌い,すききらい,"likes and dislikes, taste",n2
好き好き,すきずき,matter of taste,n2
透き通る,すきとおる, become transparent,n2
隙間,すきま,"crack, gap, opening",n2
少なくとも,すくなくとも,at least,n2
図形,ずけい,figure,n2
鈴,すず,bell,n2
涼む,すずむ," cool oneself,  cool off",n2
素直,すなお,"obedient, meek, docile",n2
頭脳,ずのう,"head, brains, intellect",n2
図表,ずひょう,"chart, diagram, graph",n2
住まい,すまい,"dwelling, house",n2
相撲,すもう,sumo wrestling,n2
狡い,ずるい,"sly, cunning",n2
寸法,すんぽう,"measurement, size, dimension",n2
姓,せい,"surname, family name",n2
税関,ぜいかん,customs,n2
製作,せいさく,"manufacture, production",n2
制作,せいさく,"work , film, book",n2
性質,せいしつ,"nature, property, disposition",n2
清書,せいしょ,clean copy,n2
青少年,せいしょうねん,"youth, young person",n2
整数,せいすう,integer,n2
清掃,せいそう,cleaning,n2
生存,せいぞん,"existence, being, survival",n2
生長,せいちょう,growth of a plant,n2
政党,せいとう,member of political party,n2
生年月日,せいねんがっぴ,date of birth,n2
性能,せいのう,"ability, capability",n2
整備,せいび,"maintenance, overhaul",n2
成分,せいぶん,"ingredient, component, composition",n2
性別,せいべつ,"sex, gender",n2
正方形,せいほうけい,square,n2
正門,せいもん,"main gate, main entrance",n2
成立,せいりつ,"formation, establishment, completion",n2
西暦,せいれき,"christian era, after christ’s death ad",n2
背負う,せおう, be burdened with  carry on one's back or shoulders,n2
赤道,せきどう,equator,n2
折角,せっかく,"with trouble, at great pains, longawaited",n2
接近,せっきん,"getting closer, drawing nearer, approaching",n2
接する,せっする, attend  someone  associate with,n2
接続,せつぞく,"connection, union, join, link changing trains",n2
瀬戸物,せともの,"earthenware, crockery, china",n2
迫る,せまる," draw near,  press",n2
攻める,せめる," attack,  assault,  assail",n2
台詞,せりふ,"speech, words, one's lines, remarks",n2
栓,せん,"stopper, cork, stopcock",n2
前～,ぜん,"former, late , past ",n2
前後,ぜんご,"front and back, before and after",n2
洗剤,せんざい,"detergent, cleanser, cleaning agent, washing material",n2
全集,ぜんしゅう,complete works,n2
全身,ぜんしん,"whole body, fulllength , portrait systemic",n2
扇子,せんす,folding fan,n2
専制,せんせい,"despotism, autocracy",n2
先々月,せんせんげつ,month before last,n2
先々週,せんせんしゅう,2 weeks before,n2
先祖,せんぞ,ancestor,n2
先端,せんたん,"pointed end, tip",n2
宣伝,せんでん,"publicity, advertisement, advertising, propaganda",n2
先頭,せんとう,"head, lead, vanguard",n2
全般,ぜんぱん,"the whole, general",n2
扇風機,せんぷうき,electric fan,n2
洗面,せんめん,"wash up one's face, have a wash",n2
全力,ぜんりょく,"all one's power, whole energy",n2
線路,せんろ,"line, track, roadbed",n2
総～,そう,"gross, general, entire",n2
相違,そうい,"difference, discrepancy, variation",n2
雑巾,ぞうきん,"housecloth, dust cloth",n2
増減,ぞうげん,"increase and decrease, fluctuation",n2
倉庫,そうこ,"storehouse, warehouse",n2
相互,そうご,"mutual, reciprocal",n2
創作,そうさく,"production, creation, work",n2
葬式,そうしき,funeral,n2
造船,ぞうせん,shipbuilding,n2
騒々しい,そうぞうしい,"noisy, boisterous",n2
増大,ぞうだい,"increase, growth",n2
送別,そうべつ,"farewell, sendoff",n2
草履,ぞうり,japanese sandals footwear,n2
総理大臣,そうりだいじん,prime minister,n2
送料,そうりょう,"postage, carriage",n2
属する,ぞくする," belong ,  come under",n2
続々,ぞくぞく,"successively, one after another",n2
速達,そくたつ,"express, special delivery",n2
測定,そくてい,measurement,n2
測量,そくりょう,"measurement, surveying",n2
速力,そくりょく,speed,n2
素質,そしつ,"talent, capability",n2
祖先,そせん,ancestors,n2
卒直,そっちょく,"frank, candid, honest",n2
率直,そっちょく,"frank, candid, straightforward, openhearted, direct, outspoken",n2
その他,そのほか,besides,n2
剃る,そる, shave,n2
逸れる,それる," stray turn from subject,  go astray",n2
揃える,そろえる," collect,  gather,  get together,  complete a collection  arrange,  put in order,  prepare,  get ready  make uniform,  make even,  match",n2
算盤,そろばん,abacus,n2
存じる,ぞんじる, know,n2
存ずる,ぞんずる, know,n2
損得,そんとく,"loss and gain, advantage and disadvantage",n2
第～,だい,th,n2
大学院,だいがくいん,graduate school,n2
大工,だいく,carpenter,n2
体系,たいけい,"system, organization",n2
太鼓,たいこ,"drum, tambourine",n2
対策,たいさく,"counterplan, countermeasure",n2
大して,たいして,"not so much, not very",n2
対照,たいしょう,"contrast, antithesis, comparison",n2
大小,だいしょう,size,n2
体制,たいせい,"order, system, structure",n2
体積,たいせき,"capacity, volume",n2
大層,たいそう,"very much, greatly",n2
体操,たいそう,"gymnastics, physical exercises, calisthenics",n2
大分,だいぶん,"considerably, greatly, a lot",n2
大木,たいぼく,large tree,n2
題名,だいめい,"title, caption, heading",n2
代名詞,だいめいし,pronoun,n2
対立,たいりつ,"confrontation, opposition, antagonism",n2
田植え,たうえ,rice planting,n2
絶えず,たえず,constantly,n2
楕円,だえん,ellipse,n2
高める,たかめる," raise,  lift,  boost,  enhance",n2
耕す,たがやす," till,  plow,  cultivate",n2
滝,たき,waterfall,n2
蓄える,たくわえる," save,  store,  lay in stock",n2
竹,たけ,bamboo,n2
但し,ただし,"but, however, provided that",n2
畳む,たたむ," fold , clothes, umbrella",n2
立ち止まる,たちどまる," stop,  halt,  stand still",n2
建つ,たつ," be erected,  be built",n2
脱線,だっせん,"derailment, digression",n2
妥当,だとう,"proper, appropriate",n2
例える,たとえる," compare,  liken",n2
頼もしい,たのもしい,"reliable, promising",n2
足袋,たび,"tabi, japanese socks with split toe",n2
溜息,ためいき,a sigh,n2
足る,たる," be sufficient,  be enough",n2
短～,たん,short ,n2
段階,だんかい,"gradation, grade, stage",n2
短期,たんき,short term,n2
炭鉱,たんこう,"coal mine, coal pit",n2
短所,たんしょ,"defect, weak point disadvantage",n2
淡水,たんすい,fresh water,n2
断水,だんすい,water outage,n2
単数,たんすう,singular number,n2
団地,だんち,housing complex,n2
断定,だんてい,"conclusion, decision",n2
短編,たんぺん,"short , story, film",n2
田ぼ,たんぼ,"paddy field, farm",n2
誓う,ちかう," swear,  vow",n2
地下水,ちかすい,underground water,n2
近々,ちかぢか,"soon, before long",n2
近付ける,ちかづける," bring near,  put close,  let come near",n2
近寄る,ちかよる," approach,  draw near",n2
力強い,ちからづよい,"powerful, strong, vigorous",n2
地質,ちしつ,geological features,n2
知人,ちじん,"friend, acquaintance",n2
地帯,ちたい,"area, zone",n2
縮む,ちぢむ," shrink,  be contracted",n2
縮める,ちぢめる," shorten,  reduce,  shrink",n2
縮れる,ちぢれる," be wavy,  be curled",n2
地点,ちてん,"site, point on a map",n2
地名,ちめい,place name,n2
茶色い,ちゃいろい,brown,n2
着々,ちゃくちゃく,steadily,n2
中間,ちゅうかん,"middle, midway, interim",n2
中旬,ちゅうじゅん,second third of a month,n2
抽象,ちゅうしょう,abstract,n2
中世,ちゅうせい,"middle ages, medieval times",n2
中性,ちゅうせい,"neuter gender, neutral",n2
中途,ちゅうと,"in the middle, halfway",n2
中年,ちゅうねん,middleaged,n2
長～,ちょう,long ,n2
超過,ちょうか,"excess, being more than",n2
彫刻,ちょうこく,"carving, engraving, sculpture",n2
長所,ちょうしょ,"strong point, merit advantage",n2
長女,ちょうじょ,eldest daughter,n2
調整,ちょうせい,"regulation, adjustment, tuning",n2
調節,ちょうせつ,"regulation, adjustment, control",n2
長短,ちょうたん,"length, long and short, +",n2
頂点,ちょうてん,"top, summit",n2
長男,ちょうなん,eldest son,n2
長方形,ちょうほうけい,"rectangle, oblong",n2
調味料,ちょうみりょう,"condiment, seasoning",n2
直後,ちょくご,immediately following,n2
直線,ちょくせん,straight line,n2
直前,ちょくぜん,just before,n2
直通,ちょくつう,direct connection,n2
直流,ちょくりゅう,direct current,n2
貯蔵,ちょぞう,"storage, preservation",n2
直角,ちょっかく,right angle,n2
直径,ちょっけい,diameter,n2
散らかす,ちらかす," scatter around,  leave untidy",n2
散らかる,ちらかる, be in disorder,n2
塵紙,ちりがみ,"tissue paper, toilet paper",n2
追加,ついか,"addition, supplement, appendix",n2
通勤,つうきん,commuting  work,n2
通ずる,つうずる," lead,  run,  open",n2
通知,つうち,"notice, notification",n2
通帳,つうちょう,bankbook,n2
通訳,つうやく,"interpretation ie, oral translation interpreter",n2
通用,つうよう,"popular use, circulation",n2
通路,つうろ,"passage, pathway",n2
突き当たり,つきあたり,"end , of street",n2
突き当たる,つきあたる," run into,  collide with",n2
月日,つきひ,"time, years, days",n2
次ぐ,つぐ," follow,  come after,  come next ",n2
伝わる,つたわる," spread of a rumor, news, etc,  travel,  circulate,  go around,  be passed around,  become known",n2
突っ込む,つっこむ," plunge into,  stick into",n2
務める,つとめる," serve,  act",n2
努める,つとめる," try,  aim",n2
綱,つな,rope,n2
繋がり,つながり,"connection, link, relationship",n2
繋がる,つながる," be tied together,  be connected ,  be linked ",n2
粒,つぶ,grain,n2
潰す,つぶす," smash,  waste",n2
潰れる,つぶれる," be smashed,  go bankrupt",n2
躓く,つまずく," trip over,  stumble",n2
詰まる,つまる," be blocked,  be packed",n2
積む,つむ," pile up,  stack",n2
爪,つめ,fingernail or toenail,n2
艶,つや,"gloss, glaze",n2
強気,つよき,"firm, strong",n2
釣り合う,つりあう," balance,  be in harmony,  suit",n2
吊る,つる, hang,n2
吊す,つるす, hang,n2
手洗い,てあらい,"restroom, lavatory",n2
低～,てい,low ,n2
定員,ていいん,"fixed number of regular personnel, capacity , of boat",n2
定価,ていか,established price,n2
低下,ていか,"fall, decline",n2
定期券,ていきけん,"commuter pass, season ticket",n2
定休日,ていきゅうび,regular holiday,n2
停止,ていし,"suspension, interruption, stoppage",n2
停車,ていしゃ,"stopping , train",n2
停電,ていでん,"power outage, electricity outage, blackout",n2
出入り,でいり,"in and out, coming and going",n2
出入口,でいりぐち,exit and entrance,n2
出入り口,でいりぐち,exit and entrance,n2
手入れ,ていれ,"repairs, maintenance",n2
出来上がり,できあがり,"be finished, ready",n2
出来上がる,できあがる," be finished,  be ready",n2
的確,てきかく,"precise, accurate",n2
適確,てきかく,"precise, accurate",n2
手首,てくび,wrist,n2
凸凹,でこぼこ,"unevenness, roughness, ruggedness",n2
手頃,てごろ,"moderate, handy",n2
手ごろ,てごろ,"handy, convenient suitable, reasoanble, moderate",n2
弟子,でし,"pupil, disciple, apprentice",n2
手帳,てちょう,notebook,n2
鉄橋,てっきょう,iron bridge,n2
手続き,てつづき,"procedure, legal process, formalities",n2
鉄砲,てっぽう,gun,n2
手拭い,てぬぐい,hand towel,n2
手前,てまえ,"before, this side",n2
出迎え,でむかえ,"meeting, reception",n2
出迎える,でむかえる," meet,  greet",n2
照らす,てらす," shine on,  illuminate",n2
照る,てる, shine,n2
展開,てんかい,"develop, expansion opposite of compression",n2
伝記,でんき,"biography, life story",n2
電球,でんきゅう,light bulb,n2
点数,てんすう,"marks, points, score",n2
伝染,でんせん,contagion,n2
電池,でんち,battery,n2
電柱,でんちゅう,"telephone pole, telegraph pole, light pole",n2
点々,てんてん,"here and there, little by little",n2
転々,てんてん,from one  another,n2
天皇,てんのう,emperor of japan,n2
電波,でんぱ,electromagnetic wave,n2
電流,でんりゅう,electric current,n2
電力,でんりょく,electric power,n2
問い合わせ,といあわせ,inquiry,n2
銅,どう,copper,n2
同～,どう,same ,n2
統一,とういつ,"unity, consolidation, uniformity",n2
同格,どうかく,"the same rank, equality, apposition",n2
峠,とうげ,"ridge, mountain pass, difficult part",n2
統計,とうけい,"scattering, a scatter, dispersion",n2
動作,どうさ,"action, movements, motions",n2
東西,とうざい,"east and west, whole country",n2
当日,とうじつ,"appointed day, very day",n2
投書,とうしょ,"letter  the editor, letter from a reader, contribution",n2
登場,とうじょう,entry on stage,n2
灯台,とうだい,lighthouse,n2
盗難,とうなん,"theft, robbery",n2
当番,とうばん,being on duty,n2
等分,とうぶん,division into equal parts,n2
透明,とうめい,"transparency, cleanness",n2
灯油,とうゆ,"lamp oil, kerosene",n2
東洋,とうよう,"the east, the orient",n2
童話,どうわ,fairy tale,n2
通り掛かる,とおりかかる, happen  pass by,n2
溶かす,とかす," melt,  dissolve",n2
尖る,とがる," taper  a point,  become sharp",n2
特殊,とくしゅ,"special, unique",n2
特色,とくしょく,"characteristic, feature",n2
特定,とくてい,"specific, special, particular",n2
特売,とくばい,special sale,n2
溶け込む,とけこむ, melt into  become a part of,n2
溶ける,とける,"intransitive  melt,  thaw,  fuse,  dissolve",n2
退ける,どける," dislodge,  put something out of the way",n2
床の間,とこのま,alcove,n2
所々,ところどころ,"here and there, some parts of something",n2
都心,としん,heart of city,n2
戸棚,とだな,"cupboard, cabinet",n2
整う,ととのう," be prepared,  be in order,  be arranged",n2
留まる,とどまる," be fixed  abide,  stay in the one place",n2
怒鳴る,どなる," shout,  yell",n2
殿,どの,mister mostly in addressing someone on an envelope,n2
飛び込む,とびこむ," jump in,  leap in,  plunge into",n2
泊める,とめる," give shelter ,  lodge",n2
捕える,とらえる," seize,  capture,  arrest",n2
取り入れる,とりいれる," harvest,  take in,  adopt",n2
取り消す,とりけす, cancel,n2
取り出す,とりだす," take out,  pick out",n2
採る,とる," adopt measure, proposal  pick fruit",n2
捕る,とる," take,  catch fish",n2
丼,どんぶり,"porcelain bowl, bowl of rice with food on top",n2
内科,ないか,"internist clinic, internal medicine",n2
内線,ないせん,phone extension,n2
仲直り,なかなおり,"reconciliation, make peace with",n2
長引く,ながびく," be prolonged,  drag on",n2
中身,なかみ,"contents, interior, filling substance, content",n2
中指,なかゆび,middle finger,n2
仲良し,なかよし,"intimate friend, bosom buddy",n2
慰める,なぐさめる," comfort,  console",n2
殴る,なぐる," strike,  hit,  beat,  punch",n2
為す,なす," accomplish,  do",n2
謎謎,なぞなぞ,riddle,n2
傾らか,なだらか,"gradual, gentle",n2
懐かしい,なつかしい,"dear, desired, missed",n2
撫でる,なでる," brush gently,  stroke",n2
斜め,ななめ,"diagonal, oblique",n2
何しろ,なにしろ,"in any case, at any rate, anyhow, anyway, as you know, for you see, particularly",n2
何々,なになに,"such and such, what?",n2
何分,なにぶん,"by all means, please",n2
生意気,なまいき,"impertinent, impudent",n2
生意気な,なまいきな,"impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash",n2
並木,なみき,"roadside tree, row of trees",n2
倣う,ならう," imitate,  follow,  emulate",n2
生る,なる, bear fruit,n2
南極,なんきょく,"south pole, antarctic",n2
何とも,なんとも,"really, very, extremely, terribly, awfully not anything, not at all, not a bit",n2
南米,なんべい,south america,n2
南北,なんぼく,south and north,n2
匂う,におう," be fragrant,  smell",n2
逃がす,にがす," let loose,  set free,  let escape",n2
憎い,にくい,"hateful, abominable, detestable",n2
憎む,にくむ," hate,  detest",n2
憎らしい,にくらしい,"odious, hateful",n2
濁る,にごる," become muddy,  get cloudy",n2
虹,にじ,rainbow,n2
日時,にちじ,date and time,n2
日用品,にちようひん,daily necessities,n2
日課,にっか,"daily work, daily routine",n2
日程,にってい,schedule,n2
鈍い,にぶい,"dull , a knife, thickheaded, slow opposite of fast, stupid",n2
入社,にゅうしゃ,entry  a company,n2
女房,にょうぼう,wife,n2
睨む,にらむ," glare at,  stare  keep an eye on",n2
煮る,にる," boil,  simmer,  stew, seethe",n2
俄,にわか,"sudden, abrupt, unexpected",n2
縫う,ぬう, sew,n2
捩る,ねじる, twist,n2
熱する,ねっする, heat,n2
寝間着,ねまき,"sleepwear, pajamas",n2
寝巻,ねまき,"sleepwear, pajamas",n2
狙い,ねらい,aim,n2
狙う,ねらう, aim at,n2
年度,ねんど,"year, fiscal year",n2
農産物,のうさんぶつ,agricultural produce,n2
農村,のうそん,agricultural community,n2
濃度,のうど,"concentration, density",n2
農薬,のうやく,agricultural chemicals,n2
能率,のうりつ,efficiency,n2
残らず,のこらず,"completely, without exception",n2
上り,のぼり,"uptrain going  tokyo, ascent",n2
糊,のり,"glue, paste, starch",n2
乗換,のりかえ,"a transfer , trains, buses",n2
乗り換え,のりかえ,"n transfer trains, buses, etc",n2
乗り越し,のりこし,riding past one's station,n2
呑気,のんき,"carefree, optimistic, careless",n2
灰色,はいいろ,"grey, ashen",n2
俳句,はいく,haiku poetry,n2
売店,ばいてん,"shop, stand",n2
売買,ばいばい,"trade, buying and selling",n2
這う,はう," creep,  crawl",n2
剥す,はがす," tear off,  peel off,  rip off",n2
剥がす,はがす," tear off,  peel off,  rip off,  strip off,  skin,  flay,  disrobe,  deprive of,  detach,  disconnect",n2
秤,はかり,"scales, weighing machine",n2
吐き気,はきけ,"nausea, sickness in the stomach",n2
掃く,はく," sweep,  brush,  gather up",n2
歯車,はぐるま,"gear, cogwheel",n2
挟まる,はさまる," get between,  be caught in",n2
挟む,はさむ, pinch  hold between  insert,n2
梯子,はしご,"ladder, stairs",n2
始めに,はじめに," begin with, first of all",n2
初めに,はじめに," begin with, first of all",n2
斜,はす,diagonal,n2
外れる,はずれる," be disconnected,  get out of place,  be off,  be out , of gear",n2
肌着,はだぎ,underwear,n2
果して,はたして,"as was expected, really",n2
果たして,はたして,"as was expected, just as one thought, sure enough",n2
鉢,はち,"a bowl, a pot",n2
発,はつ," depart , on a plane, train",n2
発揮,はっき,"exhibition, demonstration, display",n2
発想,はっそう,idea way of thinking same as  ,n2
発電,はつでん,"generation , power",n2
発売,はつばい,sale,n2
派手,はで,"showy, loud, flashy, gaudy",n2
話合い,はなしあい,"discussion, talk",n2
話し合い,はなしあい,"discussion, talk, conference",n2
話し掛ける,はなしかける," accost a person,  talk  someone",n2
話中,はなしちゅう,"while talking, the line is busy",n2
甚だしい,はなはだしい,"extreme, excessive, terrible",n2
花火,はなび,fireworks,n2
花嫁,はなよめ,bride,n2
跳ねる,はねる," jump,  leap",n2
破片,はへん,"fragment, broken piece",n2
歯磨き,はみがき,"toothbrushing, toothpaste",n2
早口,はやくち,fasttalking,n2
払い込む,はらいこむ," deposit,  pay in",n2
払い戻す,はらいもどす," repay,  pay back",n2
針金,はりがね,wire,n2
張り切る,はりきる," be in high spirits,  be full of vigor",n2
反～,はん,"anti , counter ",n2
反映,はんえい,"reflection, influence",n2
半径,はんけい,radius,n2
判子,はんこ,seal used for signature,n2
万歳,ばんざい,"banzai, long live !",n2
判事,はんじ,"judge, justice",n2
反省,はんせい,"reflection, reconsideration",n2
番地,ばんち,"house number, address",n2
半島,はんとう,peninsula,n2
非～,ひ,"anti, counter, an, non",n2
日当たり,ひあたり,"exposure  the sun, sunny place",n2
日帰り,ひがえり,day trip,n2
比較的,ひかくてき,comparatively relatively,n2
日陰,ひかげ,shadow,n2
引受る,ひきうける," undertake,  take up,  take over",n2
引き返す,ひきかえす," turn back,  go back, reverse",n2
引算,ひきざん,subtraction,n2
引き出す,ひきだす," pull out,  take out,  withdraw",n2
引き止める,ひきとめる," keep back,  prevent,  hold back",n2
卑怯,ひきょう,"cowardice, meanness, unfairness",n2
引分け,ひきわけ,"a draw in competition, tie game",n2
引き分け,ひきわけ,"draw in competition, tie game",n2
陽射,ひざし,"sunlight, rays of the sun",n2
日差し,ひざし,sunlight,n2
肘,ひじ,elbow,n2
引っ掛かる,ひっかかる," be caught in,  be stuck in",n2
筆記,ひっき,"note taking, writing",n2
引っ繰り返す,ひっくりかえす," turn over,  overturn,  knock over",n2
引っ繰り返る,ひっくりかえる," be overturned,  be upset,  topple over,  be reversed",n2
引っ越し,ひっこし,"moving dwelling, office, etc, changing residence",n2
引っ込む,ひっこむ," draw back,  sink,  cave in",n2
筆者,ひっしゃ,"writer, author",n2
必需品,ひつじゅひん,"necessities, essential",n2
一～,ひと,one ,n2
人差指,ひとさしゆび,index finger,n2
一通り,ひととおり,"general, briefly",n2
人通り,ひとどおり,pedestrian traffic,n2
瞳,ひとみ,pupil of eye,n2
一休み,ひとやすみ,a rest,n2
独り言,ひとりごと,"a soliloquy, a monologue, speaking  oneself",n2
皮肉,ひにく,"cynicism, sarcasm",n2
日日,ひにち,date,n2
日にち,ひにち,"date of a planned event, act, etc, day",n2
捻る,ひねる," twist,  turn",n2
日の入り,ひのいり,sunset,n2
日の出,ひので,sunrise,n2
響き,ひびき,"echo, sound",n2
響く,ひびく, resound  affect,n2
皮膚,ひふ,skin,n2
冷やす,ひやす," cool from room temperature,  chill,  refrigerate",n2
百科事典,ひゃっかじてん,encyclopedia,n2
美容,びよう,beauty of figure or form,n2
表紙,ひょうし,"front cover, binding",n2
標識,ひょうしき,"sign, mark",n2
標準,ひょうじゅん,"standard, level",n2
標本,ひょうほん,"example, specimen",n2
評論,ひょうろん,"criticism, critique",n2
昼寝,ひるね,"nap at home, siesta",n2
広げる,ひろげる," spread,  extend,  expand,  enlarge,  widen,  broaden",n2
広さ,ひろさ,extent,n2
広場,ひろば,plaza,n2
広々,ひろびろ,"extensive, spacious",n2
便箋,びんせん,"writing paper, stationery",n2
瓶詰,びんづめ,"bottling, bottled",n2
風船,ふうせん,balloon,n2
不運,ふうん,"unlucky, misfortune, bad luck",n2
深まる,ふかまる," deepen,  heighten,  intensify",n2
不規則,ふきそく,"irregularity, unsteadiness",n2
普及,ふきゅう,"diffusion, spread",n2
付近,ふきん,"neighborhood, vicinity",n2
副～,ふく,vice ,n2
副詞,ふくし,adverb,n2
複写,ふくしゃ,"copy, duplicate",n2
複数,ふくすう,"plural, multiple",n2
膨らます,ふくらます," swell,  expand,  inflate",n2
膨らむ,ふくらむ," expand,  swell out,  become inflated",n2
不潔,ふけつ,"unclean, dirty",n2
更ける,ふける," get late,  wear on",n2
符号,ふごう,"sign, mark, symbol",n2
夫妻,ふさい,"man and wife, married couple",n2
塞がる,ふさがる," be plugged up,  be shut up",n2
塞ぐ,ふさぐ," stuff,  close up,  block up",n2
無沙汰,ぶさた,neglecting  stay in contact,n2
武士,ぶし,"warrior, samurai",n2
部首,ぶしゅ,radical of a kanji character,n2
蒸す,ふす," steam food, towel, etc  be hot and humid,  be sultry",n2
襖,ふすま,sliding screen,n2
附属,ふぞく,"attached, belonging, affiliated",n2
付属,ふぞく,"being attached , being affiliated , belonging , going with",n2
蓋,ふた,"cover, lid, cap",n2
不通,ふつう,"suspension, interruption, stoppage, tieup, cessation",n2
物騒,ぶっそう,"dangerous, disturbed, insecure",n2
船便,ふなびん,surface mail ship,n2
部品,ぶひん,"parts, accessories",n2
吹雪,ふぶき,snow storm,n2
父母,ふぼ,"father and mother, parents",n2
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover",n2
麓,ふもと,"the foot, the bottom, the base of a mountain",n2
